promotion_id,customer_id,product_id,erp_source,promotion_type,baseline_price,promotional_price,discount_pct,discount_amount,volume_units,trade_spend_amount,volume_uplift_pct,promo_start_date,promo_end_date,transaction_date,approval_status,_ingestion_timestamp
PROMO00001,CUST004,PROD012,NAV1,Seasonal Promotion,4.49,3.6818,18.0,0.8082,4514,3648.21,12.97,2024-08-02,2024-08-17,2024-08-02,APPROVED,2026-05-05T00:00:29.872650
PROMO00002,CUST001,PROD013,NAV1,New Product Launch,1.89,1.4908,21.12,0.3992,3512,1401.99,1.22,2024-06-23,2024-07-10,2024-06-23,APPROVED,2026-05-05T00:00:29.872670
PROMO00003,CUST002,PROD002,NAV2,Clearance,1.09,0.9527,12.6,0.1373,2990,410.53,5.58,2024-06-25,2024-07-03,2024-06-25,APPROVED,2026-05-05T00:00:29.872690
PROMO00004,CUST012,PROD008,CLOUDSUITE,Clearance,1.49,1.2558,15.72,0.2342,3150,737.73,6.73,2024-02-10,2024-03-08,2024-02-10,APPROVED,2026-05-05T00:00:29.872703
PROMO00005,CUST010,PROD015,NAV2,Bundle Deal,1.45,1.1277,22.23,0.3223,4779,1540.27,-2.22,2024-04-08,2024-05-06,2024-04-08,APPROVED,2026-05-05T00:00:29.872715
PROMO00006,CUST004,PROD013,NAV1,Market Development Fund,1.89,1.6861,10.79,0.2039,703,143.34,-0.96,2024-04-29,2024-05-14,2024-04-29,APPROVED,2026-05-05T00:00:29.872727
PROMO00007,CUST008,PROD011,TROPOS,New Product Launch,1.49,1.167,21.68,0.323,1382,446.39,3.38,2024-07-08,2024-07-23,2024-07-08,APPROVED,2026-05-05T00:00:29.872738
PROMO00008,CUST012,PROD015,CLOUDSUITE,Bundle Deal,1.45,1.1793,18.67,0.2707,634,171.62,1.85,2024-11-07,2024-11-21,2024-11-07,APPROVED,2026-05-05T00:00:29.872752
PROMO00009,CUST003,PROD008,CLOUDSUITE,Bundle Deal,1.49,1.3024,12.59,0.1876,4612,865.21,7.97,2024-04-22,2024-04-30,2024-04-22,APPROVED,2026-05-05T00:00:29.872763
PROMO00010,CUST004,PROD014,NAV1,New Product Launch,4.29,4.048,5.64,0.242,2634,637.43,-2.35,2024-07-24,2024-08-18,2024-07-24,APPROVED,2026-05-05T00:00:29.872774
PROMO00011,CUST012,PROD006,CLOUDSUITE,Bundle Deal,4.29,3.8932,9.25,0.3968,4139,1642.36,13.35,2024-07-21,2024-08-05,2024-07-21,APPROVED,2026-05-05T00:00:29.872784
PROMO00012,CUST003,PROD004,CLOUDSUITE,Bundle Deal,3.99,3.196,19.9,0.794,4465,3545.21,18.38,2024-05-14,2024-06-08,2024-05-14,APPROVED,2026-05-05T00:00:29.872795
PROMO00013,CUST007,PROD006,M3_V133,Retailer Event,4.29,3.8872,9.39,0.4028,1183,476.51,-1.36,2024-09-17,2024-09-25,2024-09-17,APPROVED,2026-05-05T00:00:29.872805
PROMO00014,CUST002,PROD003,NAV2,Volume Discount,2.29,1.8881,17.55,0.4019,3508,1409.87,10.39,2024-11-01,2024-11-27,2024-11-01,APPROVED,2026-05-05T00:00:29.872816
PROMO00015,CUST008,PROD009,TROPOS,Bundle Deal,4.99,4.4895,10.03,0.5005,4582,2293.29,23.83,2024-01-06,2024-02-03,2024-01-06,APPROVED,2026-05-05T00:00:29.872826
PROMO00016,CUST009,PROD013,CLOUDSUITE,New Product Launch,1.89,1.6946,10.34,0.1954,2836,554.15,12.39,2024-02-27,2024-03-19,2024-02-27,APPROVED,2026-05-05T00:00:29.872837
PROMO00017,CUST001,PROD012,NAV1,Market Development Fund,4.49,3.4789,22.52,1.0111,2207,2231.5,2.15,2024-09-13,2024-09-23,2024-09-13,APPROVED,2026-05-05T00:00:29.872847
